t (s),V (mV)
0,12.9032
0.97,12.8991
1.902,12.8977
2.867,12.8777
3.866,12.8652
4.867,12.8543
5.866,12.8499
6.867,12.8317
7.867,12.8141
8.867,12.8052
9.866,12.7637
10.867,12.7466
11.866,12.7285
12.866,12.7239
13.866,12.6948
14.866,12.6785
15.867,12.6659
16.867,12.6585
17.867,12.6462
18.866,12.6181
19.866,12.5894
20.867,12.5955
21.867,12.5748
22.867,12.5602
23.866,12.5309
24.866,12.5075
25.866,12.4978
26.866,12.4778
27.867,12.464
28.867,12.4635
29.867,12.4406
30.867,12.4148
31.867,12.3876
32.867,12.3741
33.867,12.3725
34.866,12.3649
35.866,12.3393
36.866,12.3308
37.866,12.3141
38.866,12.3056
39.867,12.2841
40.867,12.26
41.867,12.2468
42.867,12.2273
43.867,12.204
44.867,12.1993
45.867,12.1841
46.866,12.1631
47.866,12.1468
48.866,12.1456
49.866,12.1234
50.866,12.1
51.866,12.0761
52.866,12.0691
53.866,12.0491
54.867,12.0474
55.866,12.0288
56.867,12.0101
57.866,11.9953
58.866,11.9873
59.867,11.9619
60.867,11.9511
61.866,11.9401
62.866,11.9364
63.866,11.9077
64.866,11.9026
65.867,11.8899
66.867,11.8737
67.866,11.8515
68.866,11.8441
69.867,11.8173
70.867,11.8008
71.866,11.7783
72.866,11.7773
73.867,11.7676
74.866,11.7521
75.866,11.7169
76.866,11.722
77.866,11.698
78.866,11.676
79.866,11.6745
80.866,11.6634
81.866,11.6595
82.866,11.6349
83.866,11.6179
84.867,11.5982
85.867,11.5877
86.867,11.5799
87.867,11.5576
88.867,11.5434
89.866,11.5271
90.866,11.5097
91.866,11.4865
92.866,11.4835
93.867,11.4745
94.867,11.4543
95.867,11.4375
96.867,11.4261
97.867,11.4112
98.866,11.3903
99.866,11.3902
100.866,11.3658
101.867,11.3564
102.867,11.3394
103.867,11.3305
104.866,11.2997
105.867,11.3061
106.866,11.2811
107.866,11.2691
108.867,11.2522
109.866,11.2445
110.867,11.2374
111.867,11.2076
112.867,11.2021
113.867,11.1866
114.867,11.166
115.867,11.155
116.867,11.1613
117.867,11.1484
118.866,11.137
119.867,11.1316
120.867,11.1165
121.867,11.0993
122.867,11.0788
123.866,11.0677
124.866,11.0513
125.866,11.0401
126.866,11.0312
127.866,11.0196
128.866,11.0243
129.866,11.0013
130.866,10.9821
131.867,10.9568
132.867,10.9402
133.866,10.9254
134.866,10.917
135.867,10.9114
136.866,10.9034
137.866,10.8901
138.866,10.8741
139.866,10.8752
140.866,10.848
141.867,10.8322
142.866,10.8241
143.866,10.8091
144.866,10.7957
145.866,10.786
146.867,10.7856
147.867,10.7576
148.867,10.7311
149.866,10.7396
150.866,10.7215
151.866,10.7096
152.866,10.7036
153.866,10.6835
154.866,10.6754
155.867,10.6575
156.866,10.6382
157.867,10.6185
158.866,10.6207
159.866,10.6078
160.866,10.5848
161.866,10.5776
162.865,10.5759
163.866,10.5599
164.865,10.5563
165.866,10.54
166.866,10.5493
167.865,10.5138
168.865,10.5022
169.865,10.4974
170.865,10.4784
171.865,10.4533
172.866,10.4579
173.865,10.4509
174.865,10.4438
175.865,10.4221
176.865,10.4
177.866,10.4078
178.866,10.3822
179.866,10.3781
180.865,10.3662
181.865,10.3457
182.865,10.3385
183.865,10.3234
184.866,10.3061
185.865,10.2964
186.865,10.2712
187.865,10.2684
188.865,10.2697
189.866,10.2609
190.866,10.2469
191.865,10.2478
192.865,10.227
193.865,10.2235
194.865,10.2112
195.865,10.2045
196.865,10.1853
197.865,10.1719
198.865,10.1559
199.865,10.129
200.865,10.122
201.865,10.1006
202.865,10.1028
203.865,10.0864
204.865,10.0677
205.865,10.0628
206.865,10.0485
207.866,10.0366
208.866,10.0144
209.865,10.0075
210.866,10.0082
211.865,10.0026
212.867,9.9844
213.867,9.9721
214.867,9.9624
215.866,9.9464
216.866,9.936
217.866,9.9246
218.866,9.9135
219.866,9.889
220.867,9.8893
221.867,9.8823
222.866,9.8782
223.866,9.8721
224.866,9.8484
225.867,9.8543
226.867,9.8379
227.867,9.8153
228.867,9.8203
229.866,9.7978
230.866,9.776
231.866,9.767
232.867,9.7793
233.866,9.7376
234.866,9.7344
235.866,9.7325
236.866,9.7149
237.866,9.6937
238.866,9.6972
239.866,9.6907
240.866,9.6784
241.866,9.6725
242.867,9.6665
243.866,9.641
244.866,9.6395
245.866,9.6375
246.866,9.6261
247.867,9.6152
248.867,9.6029
249.867,9.5913
250.867,9.5679
251.867,9.5734
252.867,9.5658
253.866,9.5478
254.866,9.5362
255.866,9.5296
256.866,9.5042
257.867,9.4978
258.866,9.5071
259.867,9.4906
260.866,9.4775
261.866,9.463
262.867,9.4537
263.866,9.4362
264.867,9.4372
265.867,9.4362
266.866,9.4126
267.866,9.3947
268.866,9.3946
269.866,9.3872
270.867,9.3803
271.867,9.3686
272.867,9.3543
273.867,9.3238
274.867,9.3174
275.867,9.3191
276.867,9.318
277.867,9.3096
278.867,9.2922
279.866,9.2798
280.866,9.2699
281.866,9.2744
282.866,9.2648
283.866,9.232
284.869,9.2502
285.866,9.2359
286.866,9.2235
287.866,9.2106
288.866,9.2099
289.866,9.2128
290.866,9.1866
291.867,9.1542
292.867,9.1375
293.866,9.135
294.866,9.1305
295.866,9.1276
296.867,9.1055
297.867,9.0992
298.867,9.0899
299.866,9.0927
300.866,9.0847
301.866,9.0829
302.867,9.0602
303.867,9.0335
304.866,9.0223
305.866,9.0326
306.866,9.0101
307.866,9.0046
308.866,9.0117
309.867,8.9759
310.866,8.9651
311.866,8.9634
312.867,8.9337
313.867,8.9294
314.867,8.925
315.867,8.9107
316.867,8.9045
317.867,8.8817
318.867,8.8769
319.867,8.8605
320.867,8.8395
321.866,8.8319
322.866,8.8186
323.867,8.8214
324.866,8.8195
325.866,8.7876
326.866,8.8139
327.866,8.7902
328.866,8.7739
329.866,8.771
330.866,8.738
331.866,8.725
332.866,8.7254
333.866,8.7083
334.866,8.696
335.866,8.6872
336.866,8.6876
337.866,8.6778
338.866,8.6775
339.866,8.6521
340.866,8.6399
341.867,8.6374
342.867,8.6245
343.866,8.629
344.866,8.6109
345.867,8.6106
346.867,8.6034
347.867,8.5999
348.866,8.5767
349.866,8.5701
350.866,8.5503
351.867,8.5687
352.867,8.5433
353.866,8.5292
354.866,8.5029
355.866,8.5083
356.866,8.4976
357.866,8.5019
358.866,8.4915
359.867,8.4754
360.866,8.4843
361.866,8.4843
362.867,8.4715
363.866,8.4521
364.866,8.4384
365.867,8.4179
366.867,8.4008
367.867,8.4
368.867,8.3942
369.867,8.374
370.867,8.3576
371.866,8.3495
372.866,8.3396
373.866,8.3516
374.866,8.3468
375.867,8.336
376.867,8.3247
377.867,8.3101
378.867,8.2954
379.867,8.279
380.867,8.2747
381.867,8.2814
382.867,8.2493
383.866,8.2439
384.866,8.2417
385.866,8.2371
386.866,8.2277
387.867,8.2256
388.867,8.2204
389.866,8.2166
390.867,8.1816
391.867,8.1775
392.866,8.1674
393.867,8.1727
394.867,8.1775
395.867,8.1632
396.867,8.1474
397.866,8.1259
398.866,8.1122
399.866,8.1188
400.867,8.1023
401.867,8.1128
402.866,8.0987
403.866,8.0592
404.866,8.0659
405.867,8.0436
406.867,8.0348
407.867,8.0306
408.866,8.0085
409.866,8.0195
410.867,8.0153
411.866,7.9821
412.866,7.9803
413.867,7.9788
414.866,7.9706
415.866,7.9639
416.867,7.9642
417.867,7.9413
418.867,7.9361
419.866,7.9298
420.866,7.925
421.867,7.9242
422.867,7.8971
423.866,7.8952
424.866,7.8823
425.866,7.8761
426.866,7.8821
427.866,7.8688
428.867,7.861
429.867,7.8407
430.867,7.8433
431.867,7.8307
432.867,7.8329
433.866,7.8175
434.866,7.8157
435.867,7.7886
436.867,7.7831
437.866,7.7825
438.866,7.7595
439.866,7.7645
440.867,7.7611
441.867,7.7537
442.867,7.7637
443.867,7.7253
444.867,7.7169
445.866,7.7202
446.866,7.7281
447.867,7.7052
