t (s),V (mV)
313.117,9.9846
314.118,9.957
315.117,9.9466
316.118,9.9469
317.117,9.952
318.118,9.9468
319.117,9.933
320.117,9.9452
321.118,9.9352
322.117,9.9239
323.118,9.9345
324.117,9.9167
325.117,9.9055
326.118,9.9009
327.122,9.896
328.117,9.8707
329.117,9.8681
330.118,9.8504
331.118,9.8366
332.117,9.83
333.117,9.8282
334.117,9.8134
335.118,9.8018
336.117,9.7852
337.118,9.7758
338.118,9.7742
339.117,9.7618
340.118,9.7674
341.117,9.7412
342.118,9.7429
343.118,9.7223
344.117,9.708
345.122,9.6908
346.117,9.6733
347.117,9.6673
348.118,9.6508
349.117,9.6417
350.118,9.6291
351.117,9.6143
352.118,9.6162
353.117,9.6039
354.118,9.5959
355.117,9.5839
356.117,9.5809
357.117,9.5733
358.118,9.5596
359.117,9.5504
360.117,9.5625
361.118,9.5371
362.117,9.5167
363.118,9.5126
364.117,9.4853
365.118,9.4988
366.117,9.4657
367.118,9.4669
368.118,9.4515
369.117,9.4566
370.118,9.4533
371.117,9.44
372.117,9.4264
373.118,9.4192
374.117,9.4073
375.117,9.3989
376.117,9.3901
377.118,9.3986
378.117,9.3757
379.117,9.3648
380.118,9.3426
381.122,9.353
382.117,9.343
383.117,9.325
384.118,9.3144
385.118,9.3153
386.117,9.3003
387.117,9.3123
388.118,9.2924
389.118,9.2929
390.117,9.2815
391.118,9.2668
392.117,9.2655
393.117,9.2635
394.118,9.2565
395.118,9.2272
396.117,9.2189
397.117,9.2186
398.117,9.2201
399.117,9.1984
400.117,9.198
401.118,9.1915
402.118,9.1755
403.117,9.1876
404.118,9.1752
405.117,9.1729
406.117,9.1486
407.118,9.1552
408.117,9.1371
409.117,9.1254
410.118,9.1162
411.118,9.1018
412.117,9.0917
413.117,9.0979
414.117,9.0976
415.118,9.0661
416.117,9.0479
417.118,9.037
418.117,9.026
419.118,9.0245
420.117,9.0272
421.117,9.0069
422.118,9.0014
423.118,8.9922
424.118,8.9886
425.117,8.9961
426.118,8.9827
427.117,8.9734
428.117,8.9562
429.122,8.946
430.118,8.9243
431.118,8.9237
432.117,8.9162
433.117,8.9072
434.117,8.8975
435.118,8.9022
436.117,8.8879
437.117,8.8923
438.118,8.8798
439.118,8.8911
440.117,8.8789
441.117,8.8835
442.118,8.8597
443.117,8.8666
444.117,8.8629
445.118,8.8347
446.117,8.8441
447.122,8.8333
448.118,8.8248
449.118,8.814
450.117,8.8166
451.118,8.7928
452.117,8.8078
453.117,8.795
454.118,8.7819
455.117,8.7751
456.118,8.7728
457.118,8.7685
458.117,8.765
459.122,8.7411
460.118,8.7392
461.118,8.7173
462.117,8.7177
463.118,8.7121
464.117,8.7143
465.117,8.7357
466.117,8.7101
467.117,8.7017
468.117,8.7018
469.118,8.6867
470.118,8.6687
471.117,8.6553
472.117,8.6344
473.118,8.627
474.118,8.6254
475.118,8.6154
476.117,8.6218
477.117,8.6194
478.117,8.605
479.117,8.5989
480.118,8.5896
481.118,8.5901
482.118,8.5843
483.117,8.5778
484.117,8.5609
485.118,8.5612
486.118,8.5578
487.118,8.5574
488.118,8.5465
489.118,8.5407
490.118,8.5194
491.117,8.5085
492.118,8.5061
493.117,8.4999
494.117,8.5002
495.122,8.4925
496.118,8.4848
497.117,8.46
498.117,8.4571
499.118,8.4266
500.118,8.4324
501.117,8.4242
502.118,8.3967
503.117,8.4052
504.117,8.3872
505.118,8.3838
506.118,8.3825
507.118,8.3796
508.117,8.3811
509.117,8.383
510.118,8.3661
511.118,8.3476
512.117,8.3396
513.118,8.3492
514.118,8.3319
515.117,8.3323
516.117,8.3302
517.118,8.3263
518.118,8.3109
519.122,8.3136
520.117,8.304
521.117,8.297
522.118,8.2923
523.118,8.3029
524.117,8.286
525.118,8.2689
526.117,8.2555
527.118,8.2436
528.117,8.2513
529.117,8.227
530.117,8.2235
531.122,8.2117
532.118,8.2043
533.117,8.2046
534.117,8.2104
535.117,8.1874
536.117,8.1932
537.117,8.1858
538.117,8.1684
539.118,8.1723
540.118,8.1588
541.118,8.1573
542.117,8.1522
543.122,8.1459
544.118,8.1494
545.117,8.1287
546.119,8.1295
547.118,8.1084
548.117,8.1088
549.118,8.0977
550.118,8.0943
551.118,8.0894
552.117,8.0856
553.118,8.0856
554.117,8.0765
555.117,8.0568
556.118,8.0399
557.117,8.0442
558.117,8.0279
559.117,8.0081
560.118,8.013
561.117,8.0107
562.117,8.0004
563.118,7.9941
564.117,7.9831
565.117,7.9696
566.118,7.9731
567.117,7.9712
568.118,7.95
569.118,7.966
570.118,7.9466
571.117,7.9382
572.117,7.9304
573.122,7.9102
574.117,7.9145
575.117,7.9201
576.118,7.913
577.117,7.9103
578.118,7.8891
579.118,7.8957
580.118,7.8846
581.118,7.8791
582.117,7.8793
583.117,7.8586
584.118,7.8698
585.122,7.851
586.118,7.8498
587.118,7.8331
588.118,7.8388
589.117,7.8193
590.117,7.8151
591.122,7.8125
592.118,7.801
593.117,7.7919
594.118,7.7799
595.117,7.7712
596.118,7.773
597.117,7.7699
598.118,7.7562
599.117,7.7437
600.117,7.7509
601.118,7.734
602.118,7.7212
603.117,7.7217
604.117,7.7087
605.118,7.7048
606.118,7.7071
607.117,7.7035
