t (s),V (mV)
321.188,8.0652
322.188,8.0572
323.188,8.0414
324.188,8.032
325.188,8.0255
326.189,8.0085
327.189,8.0094
328.188,7.9971
329.189,7.9922
330.188,7.9798
331.188,7.9717
332.188,7.9598
333.188,7.9443
334.188,7.9369
335.189,7.9241
336.188,7.9171
337.188,7.905
338.189,7.8963
339.188,7.8768
340.188,7.8696
341.189,7.8683
342.188,7.8444
343.188,7.8335
344.188,7.8197
345.188,7.81
346.189,7.8015
347.188,7.7784
348.189,7.7726
349.188,7.76
350.188,7.7413
351.189,7.7316
352.188,7.7311
353.188,7.7134
354.189,7.699
355.188,7.672
356.188,7.6586
357.188,7.6447
358.189,7.632
359.188,7.6389
360.189,7.6406
361.188,7.6305
362.188,7.6035
363.188,7.5898
364.189,7.5764
365.188,7.5473
366.188,7.5435
367.189,7.5425
368.188,7.5241
369.189,7.5098
370.188,7.5028
371.188,7.4845
372.189,7.4844
373.188,7.4921
374.189,7.4718
375.189,7.4576
376.189,7.454
377.188,7.4403
378.188,7.4286
379.188,7.4251
380.189,7.4162
381.188,7.4043
382.189,7.3837
383.188,7.3707
384.188,7.3411
385.188,7.3437
386.189,7.3563
387.188,7.3326
388.189,7.3102
389.188,7.3247
390.188,7.3112
391.188,7.2918
392.188,7.2815
393.189,7.2578
394.188,7.2397
395.188,7.2307
396.189,7.236
397.189,7.2287
398.189,7.2041
399.188,7.1966
400.189,7.1855
401.189,7.1814
402.188,7.1719
403.189,7.1562
404.188,7.1549
405.189,7.1399
406.188,7.1193
407.189,7.1237
408.188,7.1215
409.189,7.0976
410.188,7.0863
411.188,7.0762
412.189,7.074
413.188,7.0603
414.188,7.0419
415.189,7.0361
416.188,7.0324
417.188,6.9975
418.189,6.9946
419.188,6.9858
420.188,6.9806
421.189,6.9382
422.189,6.9356
423.188,6.9353
424.188,6.9301
425.189,6.9319
426.188,6.9237
427.189,6.8966
428.188,6.887
429.189,6.8781
430.189,6.888
431.188,6.8777
432.188,6.8692
433.188,6.8494
434.189,6.8418
435.188,6.8306
436.188,6.8534
437.189,6.8215
438.188,6.8202
439.188,6.8243
440.189,6.8031
441.188,6.8064
442.189,6.7913
443.188,6.7835
444.188,6.7806
445.189,6.7517
446.188,6.7221
447.189,6.7037
448.189,6.698
449.188,6.7131
450.188,6.7121
451.188,6.7008
452.188,6.6734
453.188,6.6576
454.188,6.6635
455.188,6.6561
456.189,6.6372
457.189,6.6437
458.188,6.6363
459.189,6.6169
460.189,6.6085
461.188,6.5924
462.188,6.5783
463.189,6.5901
464.188,6.5816
465.189,6.5628
466.188,6.5601
467.188,6.549
468.188,6.5081
469.189,6.5127
470.188,6.5037
471.188,6.494
472.188,6.4779
473.188,6.4597
474.188,6.4576
475.188,6.4495
476.189,6.4238
477.188,6.425
478.188,6.4201
479.188,6.4028
480.189,6.4155
481.188,6.3946
482.188,6.3923
483.188,6.3782
484.189,6.3681
485.188,6.3605
486.189,6.3502
487.188,6.3363
488.189,6.3416
489.188,6.3219
490.188,6.3154
491.188,6.2878
492.188,6.288
493.189,6.3005
494.188,6.2599
495.189,6.2434
496.188,6.2467
497.188,6.2492
498.189,6.238
499.189,6.2276
500.189,6.2129
501.189,6.2129
502.189,6.2033
503.188,6.2122
504.188,6.1938
505.188,6.2026
506.188,6.1856
507.188,6.1822
508.189,6.1623
509.188,6.1475
510.188,6.1298
511.188,6.1312
512.188,6.1276
513.188,6.1059
514.188,6.0934
515.188,6.0968
516.188,6.0773
517.188,6.0845
518.189,6.068
519.188,6.0552
520.188,6.0419
521.189,6.0289
522.188,6.0323
523.188,6.0332
524.189,6.0167
525.188,6.0044
526.188,5.9948
