t (s),V (mV)
0,13.6121
1.05,13.6057
2.099,13.5768
3.15,13.565
4.189,13.5483
5.188,13.5224
6.188,13.5035
7.188,13.4923
8.189,13.4767
9.189,13.4408
10.189,13.4121
11.189,13.3947
12.189,13.3673
13.189,13.3402
14.189,13.3024
15.188,13.2801
16.188,13.2582
17.188,13.2347
18.188,13.2125
19.188,13.1966
20.189,13.1663
21.189,13.1433
22.189,13.1023
23.188,13.0837
24.189,13.0724
25.188,13.0392
26.189,13.0084
27.189,12.9806
28.188,12.9629
29.189,12.9487
30.188,12.9144
31.189,12.8994
32.188,12.8575
33.189,12.8472
34.188,12.821
35.188,12.7883
36.189,12.7764
37.188,12.7574
38.189,12.7406
39.188,12.7072
40.189,12.6911
41.188,12.673
42.189,12.6362
43.189,12.621
44.189,12.6013
45.189,12.5822
46.189,12.5546
47.189,12.5229
48.189,12.5129
49.189,12.48
50.188,12.4565
51.188,12.4469
52.188,12.4202
53.188,12.4053
54.188,12.3783
55.189,12.3568
56.188,12.3283
57.188,12.3306
58.189,12.2878
59.189,12.2471
60.188,12.2432
61.189,12.2202
62.189,12.1997
63.188,12.1887
64.188,12.1506
65.189,12.1219
66.189,12.1039
67.188,12.1037
68.189,12.0776
69.188,12.0635
70.189,12.0353
71.189,12.0084
72.188,11.994
73.188,11.9585
74.189,11.9424
75.188,11.9237
76.189,11.889
77.188,11.8634
78.189,11.8632
79.188,11.8373
80.189,11.8229
81.188,11.7944
82.188,11.7871
83.189,11.7647
84.188,11.7391
85.189,11.7098
86.188,11.6985
87.189,11.6938
88.188,11.6698
89.188,11.6605
90.188,11.6355
91.188,11.6146
92.189,11.6043
93.189,11.5682
94.188,11.551
95.188,11.5499
96.188,11.5247
97.188,11.4948
98.188,11.4698
99.189,11.4656
100.189,11.4339
101.189,11.4215
102.188,11.3924
103.189,11.3693
104.189,11.3465
105.188,11.3372
106.188,11.3345
107.189,11.3123
108.188,11.2848
109.189,11.2692
110.188,11.2792
111.189,11.2398
112.189,11.2266
113.189,11.1902
114.188,11.172
115.189,11.1559
116.188,11.125
117.188,11.1208
118.189,11.1119
119.188,11.0861
120.188,11.0534
121.189,11.0518
122.188,11.0392
123.189,11.0103
124.188,11.0002
125.189,10.9857
126.188,10.9567
127.188,10.9316
128.189,10.9178
129.188,10.8883
130.189,10.8776
131.188,10.8583
132.189,10.8487
133.188,10.8319
134.189,10.8209
135.188,10.8057
136.188,10.7705
137.189,10.7544
138.188,10.7618
139.189,10.7465
140.188,10.7271
141.189,10.6929
142.188,10.6675
143.189,10.6614
144.189,10.6468
145.188,10.6326
146.188,10.6192
147.188,10.5948
148.188,10.5786
149.188,10.5583
150.188,10.5267
151.188,10.5084
152.187,10.5039
153.187,10.4871
154.187,10.4807
155.187,10.4632
156.187,10.4345
157.188,10.43
158.187,10.4141
159.188,10.3959
160.188,10.3706
161.187,10.3616
162.188,10.3454
163.187,10.3291
164.187,10.3077
165.188,10.2948
166.187,10.2851
167.187,10.2703
168.188,10.2421
169.188,10.2232
170.187,10.2155
171.187,10.1929
172.187,10.1765
173.188,10.1663
174.187,10.1518
175.187,10.1317
176.187,10.1182
177.188,10.1126
178.187,10.0909
179.187,10.083
180.187,10.0696
181.187,10.0528
182.187,10.0314
183.188,10.0163
184.187,10.0055
185.189,9.974
186.188,9.9761
187.189,9.9541
188.188,9.9397
189.188,9.934
190.189,9.9246
191.188,9.9065
192.189,9.8737
193.189,9.8652
194.188,9.8375
195.189,9.8332
196.188,9.8272
197.188,9.8
198.188,9.7779
199.188,9.7864
200.188,9.7667
201.188,9.7568
202.189,9.7373
203.188,9.7299
204.188,9.7077
205.188,9.6977
206.189,9.6929
207.188,9.678
208.189,9.6524
209.188,9.6491
210.188,9.6219
211.188,9.6021
212.188,9.6001
213.188,9.6065
214.188,9.5894
215.189,9.562
216.188,9.5638
217.188,9.5283
218.188,9.5106
219.188,9.503
220.189,9.4899
221.188,9.4796
222.189,9.4715
223.188,9.4436
224.188,9.4213
225.189,9.4024
226.188,9.3912
227.188,9.3964
228.189,9.3803
229.188,9.3445
230.189,9.3356
231.188,9.3209
232.188,9.3268
233.189,9.3014
234.188,9.287
235.189,9.2638
236.188,9.2338
237.189,9.2187
238.188,9.2077
239.188,9.1982
240.189,9.1971
241.188,9.1725
242.188,9.161
243.188,9.155
244.189,9.1354
245.188,9.119
246.189,9.0911
247.189,9.0812
248.188,9.0652
249.188,9.0513
250.188,9.0376
251.188,9.039
252.189,9.0254
253.189,9.0267
254.188,9.0054
255.188,8.9904
256.189,8.9844
257.188,8.9656
258.188,8.9503
259.189,8.9377
260.188,8.9281
261.189,8.9284
262.188,8.9017
263.189,8.899
264.188,8.883
265.189,8.8679
266.188,8.8569
267.189,8.8287
268.188,8.8274
269.189,8.8242
270.189,8.7899
271.188,8.7851
272.188,8.7675
273.189,8.761
274.188,8.7478
275.189,8.7384
276.188,8.7155
277.188,8.6991
278.189,8.6805
279.188,8.6861
280.189,8.6649
281.189,8.6585
282.188,8.6507
283.189,8.6413
284.189,8.6184
285.188,8.6066
286.189,8.5952
287.189,8.5723
288.188,8.5706
289.189,8.5628
290.188,8.5482
291.188,8.5327
292.189,8.5403
293.189,8.5187
294.188,8.502
295.189,8.4916
296.188,8.4796
297.189,8.4599
298.189,8.4523
299.188,8.4289
300.188,8.4221
301.188,8.4212
302.188,8.4011
303.188,8.3898
304.188,8.3655
305.189,8.3549
306.188,8.3369
307.189,8.3207
308.188,8.3109
309.189,8.2919
310.188,8.2913
311.189,8.2809
312.188,8.2772
313.189,8.2585
314.188,8.2439
315.188,8.2335
316.188,8.2185
317.189,8.2067
318.189,8.1091
319.188,8.0934
320.188,8.0812
